GeneName	rank
MYLK-AS1	4.27005411934912
LINC01419	4.2051034562093
MTHFD1L	4.2040340803277
CEBPB	4.17510310009771
ASNSP1	4.16105163972564
H1-4	3.98690372196529
SLC7A11	3.90606070988852
SLC7A5	3.81143325995074
SLC1A5	3.80333590833452
PEMT	3.72916102507293
IMPDH2	3.70446908357631
NT5C	3.6706487312781
DCST1-AS1	3.62150841834256
PRIMA1	3.58059029082133
ZBED3	3.56507984032264
EIF1	3.53593890686468
HNRNPA1P48	3.51249728445965
PHGDH	3.48825434728334
H4C3	3.46765228390887
C17orf49	3.44648026196022
STEAP1	3.44518858459996
SHMT2	3.43324138089237
GYPC	3.42106004227434
NTHL1	3.39869725963117
EFCAB10	3.38671443254583
HBQ1	3.38453597683677
SH2D2A	3.3804825333864
TRIB3	3.37289327522569
RPL32P16	3.37195245975623
CARM1	3.3629550791791
XBP1	3.35722163492419
DHPS	3.35507177819105
CDC42EP1	3.35336924380985
FBXO36	3.34314965560366
LHPP	3.31863031698269
HORMAD1	3.31257540242205
HLF	3.30840992939058
PYROXD1	3.29898260229608
SCARNA13	3.27119686237755
SFT2D3	3.26435765382617
GTPBP6	3.23905546160957
EIF4EBP1	3.23555657188677
HAPLN2	3.23342664688099
TIMM9	3.23205882174595
TMEM145	3.22977045927269
MACROD1	3.22465109172497
H1-2	3.22084120425656
PYCR1	3.21812434768674
MRPS34	3.21618806391641
ECI1	3.2158236176653
DHODH	3.21159801366411
SNRPA	3.20400894523852
HSD17B8	3.20379250563632
TMEM18	3.19183107515228
NT5M	3.1820804899951
ANKMY1	3.1731014106022
TSEN15	3.16854414969524
MRPL48	3.16825679901231
CTU2	3.16513089893897
ARL2	3.16251397165909
PCK2	3.14992243936824
SLC6A9	3.14552270713261
DPH6	3.13760698893557
FAM86C2P	3.10626086686907
MLST8	3.09908820835691
RPL23AP2	3.08956781846455
LMF1	3.08281963643978
BNIP1	3.07974194944943
SLC29A1	3.07793291553714
DPM3	3.06843888210528
PRDM13	3.066123328475
DYRK4	3.06536814066883
ATP5MC2	3.05086192306148
ARHGAP22	3.04688192803666
TRIM52-AS1	3.01259561829293
EIF2A	3.01222200792752
SLC7A1	3.00957981236806
ZFAND1	2.9973462004785
GTF2H2C	2.9956296733579
MFSD3	2.98787455328815
SNORA11F	2.98323371718377
YARS1	2.95495390798373
ADPRM	2.94848117671249
ABRAXAS1	2.93569441823062
APOM	2.91273223478165
FAM86JP	2.90698945647121
CCDC74A	2.90111834281728
